 ,image,char,Open Sans,Sansation,Titillium Web,Ubuntu Mono,Alex Brush
0,ant+hill_102.jpg_0,T,0,0,1,0,0
1,ant+hill_102.jpg_0,h,0,0,1,0,0
2,ant+hill_102.jpg_0,e,0,0,1,0,0
3,ant+hill_102.jpg_0,t,0,0,0,0,1
4,ant+hill_102.jpg_0,h,0,0,0,0,1
5,ant+hill_102.jpg_0,e,0,0,0,0,1
6,ant+hill_102.jpg_0,h,1,0,0,0,0
7,ant+hill_102.jpg_0,i,1,0,0,0,0
8,ant+hill_102.jpg_0,m,1,0,0,0,0
9,ant+hill_102.jpg_0,",",1,0,0,0,0
10,ant+hill_102.jpg_0,t,1,0,0,0,0
11,ant+hill_102.jpg_0,h,1,0,0,0,0
12,ant+hill_102.jpg_0,e,1,0,0,0,0
13,ant+hill_102.jpg_0,a,0,0,0,0,1
14,ant+hill_102.jpg_0,n,0,0,0,0,1
15,ant+hill_102.jpg_0,d,0,0,0,0,1
16,ant+hill_102.jpg_0,T,0,0,0,0,1
17,ant+hill_102.jpg_0,h,0,0,0,0,1
18,ant+hill_102.jpg_0,i,0,0,0,0,1
19,ant+hill_102.jpg_0,s,0,0,0,0,1
20,ant+hill_102.jpg_0,w,0,0,1,0,0
21,ant+hill_102.jpg_0,i,0,0,1,0,0
22,ant+hill_102.jpg_0,t,0,0,1,0,0
23,ant+hill_102.jpg_0,h,0,0,1,0,0
24,ant+hill_102.jpg_0,A,0,1,0,0,0
25,ant+hill_102.jpg_0,n,0,1,0,0,0
26,ant+hill_102.jpg_0,y,0,1,0,0,0
27,ant+hill_102.jpg_0,F,0,1,0,0,0
28,ant+hill_102.jpg_0,r,0,1,0,0,0
29,ant+hill_102.jpg_0,o,0,1,0,0,0
30,ant+hill_102.jpg_0,m,0,1,0,0,0
31,ant+hill_102.jpg_0,A,0,1,0,0,0
32,ant+hill_102.jpg_0,p,0,1,0,0,0
33,ant+hill_102.jpg_0,r,0,1,0,0,0
34,ant+hill_102.jpg_0,T,0,0,0,0,1
35,ant+hill_102.jpg_0,h,0,0,0,0,1
36,ant+hill_102.jpg_0,i,0,0,0,0,1
37,ant+hill_102.jpg_0,s,0,0,0,0,1
38,ant+hill_102.jpg_0,n,0,0,0,0,1
39,ant+hill_102.jpg_0,o,0,0,0,0,1
40,ant+hill_102.jpg_0,t,0,0,0,0,1
41,ant+hill_102.jpg_0,a,0,0,1,0,0
42,ant+hill_102.jpg_0,n,0,0,1,0,0
43,ant+hill_102.jpg_0,d,0,0,1,0,0
44,ant+hill_102.jpg_0,c,0,1,0,0,0
45,ant+hill_102.jpg_0,o,0,1,0,0,0
46,ant+hill_102.jpg_0,r,0,1,0,0,0
47,ant+hill_102.jpg_0,e,0,1,0,0,0
48,ant+hill_102.jpg_0,t,0,0,1,0,0
49,ant+hill_102.jpg_0,h,0,0,1,0,0
50,ant+hill_102.jpg_0,e,0,0,1,0,0
51,ant+hill_102.jpg_0,t,0,0,0,0,1
52,ant+hill_102.jpg_0,h,0,0,0,0,1
53,ant+hill_102.jpg_0,e,0,0,0,0,1
54,ant+hill_102.jpg_0,a,0,0,1,0,0
